window,seed,val_pr_auc,val_roc_auc,keras_val_pr_auc_best,epochs_run,val_frauds,minutes
3,42,0.9504,0.9982,0.9502,50,165,1.38
3,7,0.9564,0.9985,0.9561,50,165,1.44
3,123,0.9349,0.9971,0.9345,41,165,1.86
5,42,0.9118,0.9946,0.9116,38,165,1.47
5,7,0.8693,0.9856,0.8691,23,165,1.58
5,123,0.876,0.9886,0.8757,23,165,1.09
10,42,0.857,0.9784,0.8567,22,165,2.36
10,7,0.8613,0.9847,0.8608,27,165,1.64
10,123,0.8456,0.9759,0.8452,20,165,2.53
20,42,0.8601,0.9785,0.8599,18,165,2.41
20,7,0.8338,0.9667,0.8332,18,165,4.97
20,123,0.846,0.9709,0.8454,16,165,3.94
