window,seed,val_pr_auc,val_roc_auc,keras_val_pr_auc_best,epochs_run,val_frauds,minutes
1,42,0.8284,0.992,0.8276,50,165,2.45
1,7,0.823,0.9931,0.8216,48,165,2.06
1,123,0.8068,0.987,0.8055,50,165,1.5
2,42,0.9348,0.9989,0.9348,50,165,3.96
2,7,0.9284,0.9987,0.9279,50,165,3.69
2,123,0.9146,0.9984,0.914,42,165,3.23
3,42,0.9434,0.998,0.9428,49,165,5.24
3,7,0.9554,0.9989,0.9552,48,165,3.52
3,123,0.9433,0.9981,0.943,40,165,4.42
5,42,0.9369,0.9962,0.9364,45,165,6.05
5,7,0.9456,0.9964,0.9453,50,165,6.49
5,123,0.9017,0.9949,0.9016,32,165,3.43
10,42,0.8662,0.9812,0.866,22,165,3.92
10,7,0.8748,0.9903,0.8743,25,165,7.62
10,123,0.8487,0.9786,0.8485,21,165,5.16
15,42,0.8675,0.9851,0.8672,22,165,9.48
15,7,0.8265,0.974,0.8262,17,165,3.1
15,123,0.8434,0.9837,0.8435,27,165,11.95
20,42,0.8424,0.9717,0.8419,14,165,7.32
20,7,0.8258,0.9728,0.8252,15,165,7.86
20,123,0.8527,0.9759,0.8525,15,165,7.67
25,42,0.84,0.978,0.8398,12,165,7.98
25,7,0.8365,0.9839,0.836,18,165,11.24
25,123,0.8338,0.9766,0.8338,13,165,9.31
30,42,0.8663,0.9845,0.8662,26,165,18.75
30,7,0.8251,0.9764,0.8246,13,165,7.9
30,123,0.8382,0.9712,0.8377,17,165,12.15
